"location_id","location_name","process_id","date","poll","unit","source","country","frequency","aggregation_function","threshold","exceedance_allowed_per_year","organization","standard_id","value","exceedance","year","exceedance_this_year","violation","gadm1_id"
"southend-on-sea_gbr.1_1_gb","Southend-on-Sea","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.3625,1,2019,1,TRUE,"gbr.1_1"
"southend-on-sea_gbr.1_1_gb","Southend-on-Sea","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.3625,1,2019,2,TRUE,"gbr.1_1"
"stoke on trent_gbr.1_1_gb","Stoke on Trent","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,32.7625,1,2019,3,TRUE,"gbr.1_1"
"stoke on trent_gbr.1_1_gb","Stoke on Trent","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,32.7625,1,2019,4,TRUE,"gbr.1_1"
"warrington_gbr.1_1_gb","Warrington","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.9166666666667,1,2019,3,TRUE,"gbr.1_1"
"wigan_gbr.1_1_gb","Wigan","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.5083333333333,1,2019,5,TRUE,"gbr.1_1"
"wigan_gbr.1_1_gb","Wigan","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.5083333333333,1,2019,6,TRUE,"gbr.1_1"
"worthing_gbr.1_1_gb","Worthing","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27,1,2019,2,TRUE,"gbr.1_1"
"york_gbr.1_1_gb","York","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.4875,1,2019,1,TRUE,"gbr.1_1"
"york_gbr.1_1_gb","York","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.8479166666667,1,2019,2,TRUE,"gbr.1_1"
